fixture_id,width,height,phase,operation,recipe_index,measured_count,min_ms,p50_ms,p95_ms,p99_ms,max_ms,p95_target_ms,p95_target_met
private-X-T3-RAW,6240,4160,kernel,contrast,0,100,10.937916000000001,11.106,11.375958,11.515084,11.664792,100,True
private-X-T3-RAW,6240,4160,warm_service,contrast,0,100,127.94487500000001,132.068458,136.51962500000002,143.394625,145.38245799999999,250,True
private-X-T3-RAW,6240,4160,kernel,highlights,0,100,8.103167,8.19275,8.304875,11.086958,11.764042,100,True
private-X-T3-RAW,6240,4160,warm_service,highlights,0,100,124.108291,128.059958,134.978208,141.749167,305.76295799999997,250,True
private-X-T3-RAW,6240,4160,kernel,shadows,0,100,8.0985,8.181834,8.344917,12.912625,13.463709000000001,100,True
private-X-T3-RAW,6240,4160,warm_service,shadows,0,100,125.53624999999998,129.74745800000002,138.283292,148.304333,150.256583,250,True
private-X-T3-RAW,6240,4160,kernel,saturation,0,100,8.199209000000002,8.370792,8.617792000000001,8.799417,10.429333000000002,100,True
private-X-T3-RAW,6240,4160,warm_service,saturation,0,100,129.27841700000002,139.492208,145.585708,150.529625,314.080833,250,True
private-X-T3-RAW,6240,4160,kernel,vibrance,0,100,8.273625,9.215875,10.865375,11.680375,11.927833,100,True
private-X-T3-RAW,6240,4160,warm_service,vibrance,0,100,124.917166,128.171791,131.476709,140.37187500000002,143.89933299999998,250,True
private-X-T3-RAW,6240,4160,kernel,sharpening,0,100,17.11075,17.530084000000002,17.964667,18.375415999999998,18.614084,100,True
private-X-T3-RAW,6240,4160,warm_service,sharpening,0,100,133.512875,139.433291,152.871417,162.795083,290.390083,250,True
private-X-T3-RAW,6240,4160,kernel,luminance_noise,0,100,20.658625,21.032541,21.170583,24.197834,28.903333,100,True
private-X-T3-RAW,6240,4160,warm_service,luminance_noise,0,100,139.705084,142.4315,146.7995,155.04279200000002,155.248958,250,True
private-X-T3-RAW,6240,4160,kernel,chroma_noise,0,100,20.819792,21.388082999999998,21.720208,21.803375,21.8945,100,True
private-X-T3-RAW,6240,4160,warm_service,chroma_noise,0,100,140.959333,143.546459,147.976792,158.997583,342.54083299999996,250,True
private-X-T3-RAW,6240,4160,kernel,combined,0,100,55.732,56.646334,57.62025,57.985625,58.066832999999995,100,True
private-X-T3-RAW,6240,4160,warm_service,combined,0,100,172.90012499999997,176.367875,182.34662500000002,185.889166,199.18075,250,True
private-X-T3-RAW,6240,4160,full,combined,0,20,757.6476250000001,759.913375,767.6900840000001,769.445708,769.445708,5000,True
private-X-T3-DNG,6240,4160,kernel,neutral,0,100,2.355292,2.4286659999999998,2.59925,3.013709,3.137916,100,True
private-X-T3-DNG,6240,4160,kernel,crop,0,100,2.78525,2.89075,2.9867079999999997,3.002167,3.01125,100,True
private-X-T3-DNG,6240,4160,warm_service,crop,0,100,109.256958,113.55812499999999,118.74929100000001,123.67645900000001,313.12370899999996,250,True
private-X-T3-DNG,6240,4160,kernel,straighten,0,100,10.352458,10.444500000000001,10.533791,10.56925,10.583708000000001,100,True
private-X-T3-DNG,6240,4160,warm_service,straighten,0,100,124.726083,129.85970799999998,135.614334,140.586666,147.05695899999998,250,True
private-X-T3-DNG,6240,4160,kernel,exposure,0,100,8.109375,8.234458,8.522791,8.560333,8.655084,100,True
private-X-T3-DNG,6240,4160,warm_service,exposure,0,100,121.094042,124.76575,127.22608299999999,132.834333,134.572,250,True
private-X-T3-DNG,6240,4160,kernel,white_balance,0,100,2.339667,2.428417,2.5546670000000002,2.603916,2.610792,100,True
