assets,case,population,n,p50_ms,p95_ms,p99_ms,max_ms,peak_rss_bytes,max_chunks,max_candidates,max_vm_steps,max_sorts,max_text_rows,max_text_bytes,max_text_batches,max_text_vm_steps,returned_rows_histogram
1000000,text-capture,fresh_page_ms,20,1.7521455000000001,3.5646982,3.60317244,3.612791,110559232,1,999,47190,0,999,13386,28,14191,"{""0"":60,""200"":60}"
1000000,text-capture,fresh_process_wall_ms,20,43.516811972949654,61.706168798264116,62.14003371773288,62.24849994760007,110559232,1,999,47190,0,999,13386,28,14191,"{""0"":60,""200"":60}"
1000000,camera-lens,warm_ms,100,0.32470849999999996,0.46017295,0.4769021700000001,0.49612500000000004,196018176,1,799,27382,0,0,0,0,0,"{""200"":120}"
1000000,camera-lens,fresh_page_ms,20,0.5250205,0.5482895999999999,0.55079152,0.551417,196018176,1,799,27382,0,0,0,0,0,"{""200"":120}"
1000000,camera-lens,fresh_process_wall_ms,20,61.14512501517311,61.79633744759485,61.90786754479632,61.935750069096684,196018176,1,799,27382,0,0,0,0,0,"{""200"":120}"
1000000,date-camera,warm_ms,100,0.3750205,1.05523955,1.1068415800000002,1.1241249999999998,223051776,1,600,30481,0,0,0,0,0,"{""200"":120}"
1000000,date-camera,fresh_page_ms,20,1.0764585000000002,1.1149646,1.12392652,1.126167,223051776,1,600,30481,0,0,0,0,0,"{""200"":120}"
1000000,date-camera,fresh_process_wall_ms,20,61.682916479185224,62.080689903814346,62.08103796700016,62.08112498279661,223051776,1,600,30481,0,0,0,0,0,"{""200"":120}"
1000000,label-flag,warm_ms,100,0.201,0.27821520000000005,0.31551816,0.32137499999999997,194117632,1,399,11786,0,0,0,0,0,"{""200"":120}"
1000000,label-flag,fresh_page_ms,20,0.3332915,0.34431215,0.34589522999999994,0.34629099999999996,194117632,1,399,11786,0,0,0,0,0,"{""200"":120}"
1000000,label-flag,fresh_process_wall_ms,20,59.1458750423044,61.71369403600693,61.98770523071289,62.05620802938938,194117632,1,399,11786,0,0,0,0,0,"{""200"":120}"
1000000,folder,warm_ms,100,0.1444165,0.20220145,0.22860408000000015,0.2595,193380352,1,200,5015,0,0,0,0,0,"{""200"":120}"
1000000,folder,fresh_page_ms,20,0.247854,0.27064820000000006,0.3900624399999998,0.419916,193380352,1,200,5015,0,0,0,0,0,"{""200"":120}"
1000000,folder,fresh_process_wall_ms,20,61.48160400334746,61.791527044260874,62.01423908700235,62.06991709768772,193380352,1,200,5015,0,0,0,0,0,"{""200"":120}"
1000000,folder-recursive,warm_ms,100,0.160271,0.2000351,0.23205792000000003,0.23779199999999998,191152128,1,200,7214,0,0,0,0,0,"{""200"":120}"
1000000,folder-recursive,fresh_page_ms,20,0.243709,0.2555896,0.25695152,0.257292,191152128,1,200,7214,0,0,0,0,0,"{""200"":120}"
1000000,folder-recursive,fresh_process_wall_ms,20,55.798104498535395,61.5268973284401,61.56081305118278,61.569291981868446,191152128,1,200,7214,0,0,0,0,0,"{""200"":120}"
1000000,conflicted,warm_ms,100,3.1897919999999997,3.8748042,3.90061533,3.9326250000000003,238436352,5,19394,504084,0,0,0,0,0,"{""200"":120}"
1000000,conflicted,fresh_page_ms,20,4.007104,4.1386018,4.15788756,4.1627089999999995,238436352,5,19394,504084,0,0,0,0,0,"{""200"":120}"
1000000,conflicted,fresh_process_wall_ms,20,58.62993746995926,75.36705392412841,77.09561073221266,77.52774993423373,238436352,5,19394,504084,0,0,0,0,0,"{""200"":120}"
5000000,browse,warm_ms,100,0.1227295,0.1415372,0.18051667,0.182167,190922752,1,200,4607,0,0,0,0,0,"{""200"":120}"
5000000,browse,fresh_page_ms,20,0.18764599999999998,0.19422885,0.19834576999999998,0.199375,190922752,1,200,4607,0,0,0,0,0,"{""200"":120}"
5000000,browse,fresh_process_wall_ms,20,55.28068746207282,60.76458471361548,61.354250465519726,61.50166690349579,190922752,1,200,4607,0,0,0,0,0,"{""200"":120}"
5000000,rating,warm_ms,100,0.1524795,0.20685865,0.21097709000000003,0.221084,193167360,1,200,5015,0,0,0,0,0,"{""200"":120}"
5000000,rating,fresh_page_ms,20,0.25825,0.2737143,0.27951006,0.280959,193167360,1,200,5015,0,0,0,0,0,"{""200"":120}"
5000000,rating,fresh_process_wall_ms,20,57.46168753830716,61.37197709758766,61.730728229740635,61.82041601277888,193167360,1,200,5015,0,0,0,0,0,"{""200"":120}"
5000000,rating-sort,warm_ms,100,0.17325000000000002,0.23199579999999997,0.2535133300000001,0.279583,221003776,1,200,6446,0,0,0,0,0,"{""200"":120}"
5000000,rating-sort,fresh_page_ms,20,0.2849585,0.2956045,0.30795449999999996,0.311042,221003776,1,200,6446,0,0,0,0,0,"{""200"":120}"
5000000,rating-sort,fresh_process_wall_ms,20,54.62143797194585,61.31717499229126,61.5972350013908,61.667250003665686,221003776,1,200,6446,0,0,0,0,0,"{""200"":120}"
5000000,capture-rating,warm_ms,100,0.192771,0.26055479999999953,0.4539333300000001,0.459708,197836800,1,200,6854,0,0,0,0,0,"{""200"":120}"
5000000,capture-rating,fresh_page_ms,20,0.47425,0.5069250000000001,0.509585,0.51025,197836800,1,200,6854,0,0,0,0,0,"{""200"":120}"
5000000,capture-rating,fresh_process_wall_ms,20,57.01268749544397,62.26720663835295,71.76780850277281,74.14295896887779,197836800,1,200,6854,0,0,0,0,0,"{""200"":120}"
5000000,filename-reverse,warm_ms,100,4.4529795,4.5748503,4.632685329999999,4.6345,194969600,1,1000,44235,0,1000,13400,28,14204,"{""200"":120}"
5000000,filename-reverse,fresh_page_ms,20,4.8465205,4.92249165,4.95276473,4.960333,194969600,1,1000,44235,0,1000,13400,28,14204,"{""200"":120}"
5000000,filename-reverse,fresh_process_wall_ms,20,61.558041954413056,61.6743853664957,61.68974349973723,61.69358303304762,194969600,1,1000,44235,0,1000,13400,28,14204,"{""200"":120}"
5000000,keyword,warm_ms,100,0.2321455,0.32084135,0.33331791000000005,0.34004100000000004,194887680,1,200,8015,0,0,0,0,0,"{""200"":120}"
5000000,keyword,fresh_page_ms,20,0.3903335,0.40672115,0.40754423,0.40775,194887680,1,200,8015,0,0,0,0,0,"{""200"":120}"
5000000,keyword,fresh_process_wall_ms,20,58.407020987942815,61.701485386583954,61.718364239204675,61.722583952359855,194887680,1,200,8015,0,0,0,0,0,"{""200"":120}"
5000000,wide-keyword,warm_ms,100,0.187375,0.27296875,0.3441697500000004,0.418791,143523840,1,200,8015,0,0,0,0,0,"{""115"":12,""137"":12,""160"":12,""182"":12,""200"":36,""47"":12,""70"":12,""92"":12}"
5000000,wide-keyword,fresh_page_ms,20,0.8557705,1.1959798,1.26089596,1.277125,143523840,1,200,8015,0,0,0,0,0,"{""115"":12,""137"":12,""160"":12,""182"":12,""200"":36,""47"":12,""70"":12,""92"":12}"
5000000,wide-keyword,fresh_process_wall_ms,20,54.028521466534585,61.884249991271645,62.54165004240349,62.70600005518645,143523840,1,200,8015,0,0,0,0,0,"{""115"":12,""137"":12,""160"":12,""182"":12,""200"":36,""47"":12,""70"":12,""92"":12}"
5000000,collection,warm_ms,100,0.19645800000000002,0.30158989999999997,0.33047134000000006,0.344167,195411968,1,200,7214,0,0,0,0,0,"{""200"":120}"
5000000,collection,fresh_page_ms,20,0.3590625,0.3866069,0.38695498,0.387042,195411968,1,200,7214,0,0,0,0,0,"{""200"":120}"
5000000,collection,fresh_process_wall_ms,20,61.58914597472176,61.94933752412908,62.011467510601506,62.02700000721961,195411968,1,200,7214,0,0,0,0,0,"{""200"":120}"
5000000,mixed,warm_ms,100,9.0147495,12.450760099999998,12.699575590000002,12.789625000000001,401571840,3,12000,720794,0,1000,13400,233,19722,"{""200"":120}"
5000000,mixed,fresh_page_ms,20,12.819771,13.5374194,13.58431748,13.596041999999999,401571840,3,12000,720794,0,1000,13400,233,19722,"{""200"":120}"
5000000,mixed,fresh_process_wall_ms,20,61.777270515449345,85.78823925927281,86.35871428996325,86.50133304763585,401571840,3,12000,720794,0,1000,13400,233,19722,"{""200"":120}"
5000000,text,warm_ms,100,26.6088545,28.950088949999998,29.269164250000003,29.277207999999998,204111872,1,200,5418,0,0,0,0,0,"{""200"":120}"
5000000,text,fresh_page_ms,20,28.6679795,31.0731521,31.50486402,31.612792,204111872,1,200,5418,0,0,0,0,0,"{""200"":120}"
5000000,text,fresh_process_wall_ms,20,91.44343750085682,91.93004135740921,92.20110825961456,92.2688749851659,204111872,1,200,5418,0,0,0,0,0,"{""200"":120}"
5000000,text-capture,warm_ms,100,0.9248960000000002,1.8983607,1.9646712499999999,1.9692500000000002,110575616,1,999,47190,0,999,13386,28,14191,"{""0"":60,""200"":60}"
5000000,text-capture,fresh_page_ms,20,1.7150205000000003,3.4012128,3.46840896,3.485208,110575616,1,999,47190,0,999,13386,28,14191,"{""0"":60,""200"":60}"
5000000,text-capture,fresh_process_wall_ms,20,41.910125059075654,62.31993991532364,71.21798795764333,73.44249996822327,110575616,1,999,47190,0,999,13386,28,14191,"{""0"":60,""200"":60}"
5000000,camera-lens,warm_ms,100,0.352125,0.46954795,0.4792916600000001,0.508166,196132864,1,800,27417,0,0,0,0,0,"{""200"":120}"
5000000,camera-lens,fresh_page_ms,20,0.5204789999999999,0.5414729,0.5448609799999999,0.545708,196132864,1,800,27417,0,0,0,0,0,"{""200"":120}"
5000000,camera-lens,fresh_process_wall_ms,20,58.4223959594965,61.73573301639408,61.94321300368756,61.99508300051093,196132864,1,800,27417,0,0,0,0,0,"{""200"":120}"
5000000,date-camera,warm_ms,100,0.40929150000000003,1.0064851,1.0382707500000001,1.0485419999999999,224149504,1,600,30481,0,0,0,0,0,"{""200"":120}"
5000000,date-camera,fresh_page_ms,20,1.0586250000000001,1.1437899,1.2197579799999998,1.23875,224149504,1,600,30481,0,0,0,0,0,"{""200"":120}"
5000000,date-camera,fresh_process_wall_ms,20,56.431354489177465,62.56401878199541,69.16490376810542,70.81512501463294,224149504,1,600,30481,0,0,0,0,0,"{""200"":120}"
5000000,label-flag,warm_ms,100,0.2185625,0.2767521,0.28082101000000004,0.283792,194215936,1,400,11816,0,0,0,0,0,"{""200"":120}"
5000000,label-flag,fresh_page_ms,20,0.335167,0.34684170000000003,0.34823554,0.348584,194215936,1,400,11816,0,0,0,0,0,"{""200"":120}"
5000000,label-flag,fresh_process_wall_ms,20,55.77481194632128,78.01374372793362,81.93904869025573,82.92037493083626,194215936,1,400,11816,0,0,0,0,0,"{""200"":120}"
5000000,folder,warm_ms,100,0.157604,0.19914645,0.20412408000000004,0.21225000000000002,221151232,1,200,5015,0,0,0,0,0,"{""200"":120}"
5000000,folder,fresh_page_ms,20,0.25447949999999997,0.26802565,0.26903873,0.26929200000000003,221151232,1,200,5015,0,0,0,0,0,"{""200"":120}"
5000000,folder,fresh_process_wall_ms,20,56.46281206281856,61.66601251461543,61.690902571426705,61.69712508562952,221151232,1,200,5015,0,0,0,0,0,"{""200"":120}"
5000000,folder-recursive,warm_ms,100,0.1678965,0.19185,0.2137463400000001,0.229917,191234048,1,200,7214,0,0,0,0,0,"{""200"":120}"
5000000,folder-recursive,fresh_page_ms,20,0.24912499999999999,0.25806665,0.25907973,0.259333,191234048,1,200,7214,0,0,0,0,0,"{""200"":120}"
5000000,folder-recursive,fresh_process_wall_ms,20,56.426625058520585,62.378748552873745,74.86614971421656,77.9880000045523,191234048,1,200,7214,0,0,0,0,0,"{""200"":120}"
5000000,conflicted,warm_ms,100,3.1485624999999997,3.912625,3.97803149,3.9852079999999996,237535232,5,19387,503902,0,0,0,0,0,"{""200"":120}"
5000000,conflicted,fresh_page_ms,20,4.021292000000001,4.355712150000001,5.404575229999998,5.666791,237535232,5,19387,503902,0,0,0,0,0,"{""200"":120}"
5000000,conflicted,fresh_process_wall_ms,20,61.70370802283287,71.34802887449041,77.51080573769285,79.05149995349348,237535232,5,19387,503902,0,0,0,0,0,"{""200"":120}"
10000000,browse,warm_ms,100,0.123709,0.1410646,0.16844116,0.170833,190939136,1,200,4607,0,0,0,0,0,"{""200"":120}"
10000000,browse,fresh_page_ms,20,0.18916650000000002,0.20232085,0.21479776999999997,0.217917,190939136,1,200,4607,0,0,0,0,0,"{""200"":120}"
10000000,browse,fresh_process_wall_ms,20,61.76862498978153,61.93480214569718,62.083794069476426,62.12104205042124,190939136,1,200,4607,0,0,0,0,0,"{""200"":120}"
10000000,rating,warm_ms,100,0.15818749999999998,0.2099556,0.21572925,0.21783300000000003,194084864,1,200,5015,0,0,0,0,0,"{""200"":120}"
10000000,rating,fresh_page_ms,20,0.2686245,0.30751075,0.32223575,0.325917,194084864,1,200,5015,0,0,0,0,0,"{""200"":120}"
10000000,rating,fresh_process_wall_ms,20,62.0696249534376,82.83055626088753,82.86561119602993,82.87437492981553,194084864,1,200,5015,0,0,0,0,0,"{""200"":120}"
10000000,rating-sort,warm_ms,100,0.17902099999999999,0.23573719999999998,0.28335809000000006,0.29,194494464,1,200,6446,0,0,0,0,0,"{""200"":120}"
10000000,rating-sort,fresh_page_ms,20,0.2949165,0.5479292,0.5848530399999999,0.5940840000000001,194494464,1,200,6446,0,0,0,0,0,"{""200"":120}"
10000000,rating-sort,fresh_process_wall_ms,20,61.92652101162821,83.38654963299632,83.68624353781343,83.7611670140177,194494464,1,200,6446,0,0,0,0,0,"{""200"":120}"
10000000,capture-rating,warm_ms,100,0.21997899999999998,0.4491711499999999,0.52045475,0.524291,197476352,1,200,6854,0,0,0,0,0,"{""200"":120}"
10000000,capture-rating,fresh_page_ms,20,0.5011665,0.5509670000000001,0.6524269999999998,0.677792,197476352,1,200,6854,0,0,0,0,0,"{""200"":120}"
10000000,capture-rating,fresh_process_wall_ms,20,61.9520420441404,84.43248508847319,85.22329694475047,85.4209999088198,197476352,1,200,6854,0,0,0,0,0,"{""200"":120}"
10000000,filename-reverse,warm_ms,100,4.8033335,5.2450920000000005,5.597556580000008,7.096375,195248128,1,1000,44235,0,1000,13400,28,14204,"{""200"":120}"
